Time,case2.sav
0.0,293.15
1728.0,368.8799
3456.0,375.2474
5184.0,376.9795
6912.0,377.4423
8640.0,377.5653
10368.0,377.5979
12096.0,377.6066
13824.0,377.6089
15552.0,377.6095
17280.0,377.6097
19008.0,377.6097
20736.0,377.6097
22464.0,377.6097
24192.0,377.6097
25920.0,377.6097
27648.0,377.6097
29376.0,377.6097
31104.0,377.6097
32832.0,377.6097
34560.0,377.6097
36288.0,377.6097
38016.0,377.6097
39744.0,376.9874
41472.0,358.5447
43200.0,339.6417
44928.0,322.3314
46656.0,312.206
48384.0,309.6841
50112.0,308.6708
51840.0,308.2615
53568.0,308.0958
55296.0,308.0288
57024.0,308.0016
58752.0,307.9906
60480.0,307.9861
62208.0,307.9843
63936.0,307.9836
65664.0,307.9833
67392.0,307.9832
69120.0,307.9831
70848.0,307.9831
72576.0,307.9831
74304.0,307.9831
76032.0,307.9831
77760.0,307.9831
79488.0,307.9831
81216.0,307.9831
82944.0,316.212
84672.0,333.4553
86400.0,354.8102
88128.0,367.1882
89856.0,368.9073
91584.0,369.3903
93312.0,369.5254
95040.0,369.5631
96768.0,369.5737
98496.0,363.813
100224.0,345.4284
101952.0,327.7312
103680.0,322.2228
105408.0,320.6131
107136.0,320.0069
108864.0,319.7779
110592.0,319.6913
112320.0,319.6585
114048.0,328.3551
115776.0,347.268
117504.0,365.925
119232.0,368.5572
120960.0,369.2922
122688.0,369.498
124416.0,369.5555
126144.0,369.5715
127872.0,369.4031
129600.0,352.0988
131328.0,342.0105
133056.0,340.3408
134784.0,339.7828
136512.0,339.5956
138240.0,339.5327
139968.0,339.5116
141696.0,341.0931
143424.0,347.1672
145152.0,354.1476
146880.0,361.5581
148608.0,368.2409
150336.0,369.208
152064.0,369.4744
153792.0,369.5489
155520.0,369.5697
157248.0,369.5755
158976.0,369.5771
160704.0,365.7971
162432.0,361.2172
164160.0,356.5568
165888.0,351.9352
167616.0,347.3895
169344.0,342.9338
171072.0,338.5755
172800.0,334.32
