Time,case2.sav
0.0,293.15
1728.0,365.7276
3456.0,375.3084
5184.0,377.9407
6912.0,378.6459
8640.0,378.8335
10368.0,378.8833
12096.0,378.8965
13824.0,378.9
15552.0,378.9009
17280.0,378.9012
19008.0,378.9012
20736.0,378.9013
22464.0,378.9013
24192.0,378.9013
25920.0,378.9013
27648.0,378.9013
29376.0,378.9013
31104.0,378.9013
32832.0,378.9013
34560.0,378.9013
36288.0,378.9013
38016.0,378.9013
39744.0,378.3936
41472.0,361.5822
43200.0,343.1341
44928.0,325.9123
46656.0,315.0281
48384.0,311.788
50112.0,310.4909
51840.0,309.9677
53568.0,309.7562
55296.0,309.6706
57024.0,309.6359
58752.0,309.6218
60480.0,309.6161
62208.0,309.6138
63936.0,309.6129
65664.0,309.6125
67392.0,309.6124
69120.0,309.6123
70848.0,309.6123
72576.0,309.6123
74304.0,309.6123
76032.0,309.6123
77760.0,309.6123
79488.0,309.6123
81216.0,309.6123
82944.0,316.7973
84672.0,333.0638
86400.0,353.8822
88128.0,367.3557
89856.0,369.9096
91584.0,370.6291
93312.0,370.8305
95040.0,370.8867
96768.0,370.9024
98496.0,365.9651
100224.0,348.6744
101952.0,331.2569
103680.0,324.611
105408.0,322.4917
107136.0,321.6956
108864.0,321.3952
110592.0,321.2817
112320.0,321.2387
114048.0,328.8212
115776.0,346.7051
117504.0,365.5027
119232.0,369.3886
120960.0,370.4829
122688.0,370.7896
124416.0,370.8753
126144.0,370.8992
127872.0,370.7671
129600.0,355.1
131328.0,344.4432
133056.0,342.1361
134784.0,341.367
136512.0,341.1092
138240.0,341.0227
139968.0,340.9936
141696.0,342.3345
143424.0,347.9966
145152.0,354.8083
146880.0,362.1376
148608.0,368.9291
150336.0,370.3573
152064.0,370.7545
153792.0,370.8655
155520.0,370.8965
157248.0,370.9052
158976.0,370.9076
160704.0,367.4966
162432.0,363.0519
164160.0,358.4458
165888.0,353.8549
167616.0,349.3323
169344.0,344.8964
171072.0,340.5559
172800.0,336.3163
