Time,case2.sav
0.0,293.15
1728.0,353.2905
3456.0,376.5761
5184.0,383.107
6912.0,384.8663
8640.0,385.3349
10368.0,385.4594
12096.0,385.4924
13824.0,385.5011
15552.0,385.5035
17280.0,385.5041
19008.0,385.5042
20736.0,385.5043
22464.0,385.5043
24192.0,385.5043
25920.0,385.5043
27648.0,385.5043
29376.0,385.5043
31104.0,385.5043
32832.0,385.5043
34560.0,385.5043
36288.0,385.5043
38016.0,385.5043
39744.0,385.4509
41472.0,375.345
43200.0,358.4411
44928.0,341.2641
46656.0,327.2169
48384.0,321.1055
50112.0,318.6793
51840.0,317.7043
53568.0,317.3105
55296.0,317.1512
57024.0,317.0867
58752.0,317.0606
60480.0,317.05
62208.0,317.0457
63936.0,317.044
65664.0,317.0432
67392.0,317.043
69120.0,317.0428
70848.0,317.0428
72576.0,317.0428
74304.0,317.0428
76032.0,317.0428
77760.0,317.0428
79488.0,317.0428
81216.0,317.0428
82944.0,320.1657
84672.0,332.527
86400.0,351.0657
88128.0,369.0758
89856.0,375.2006
91584.0,376.9359
93312.0,377.4223
95040.0,377.5582
96768.0,377.5962
98496.0,376.0571
100224.0,363.0715
101952.0,346.4813
103680.0,335.1955
105408.0,331.0173
107136.0,329.4565
108864.0,328.8688
110592.0,328.6468
112320.0,328.5628
114048.0,331.7492
115776.0,345.4355
117504.0,364.7154
119232.0,373.9468
120960.0,376.583
122688.0,377.3236
124416.0,377.5307
126144.0,377.5885
127872.0,377.5945
129600.0,368.5957
131328.0,355.4616
133056.0,350.513
134784.0,348.8725
136512.0,348.3236
138240.0,348.1394
139968.0,348.0776
141696.0,348.4558
143424.0,352.4553
145152.0,358.5959
146880.0,365.6128
148608.0,372.8751
150336.0,376.28
152064.0,377.2387
153792.0,377.5069
155520.0,377.5819
157248.0,377.6028
158976.0,377.6086
160704.0,375.726
162432.0,371.8053
164160.0,367.3753
165888.0,362.8612
167616.0,358.3839
169344.0,353.9808
171072.0,349.6658
172800.0,345.4462
