Time,case2.sav
0.0,293.15
1728.0,368.3041
3456.0,375.2918
5184.0,377.1967
6912.0,377.706
8640.0,377.8414
10368.0,377.8773
12096.0,377.8869
13824.0,377.8894
15552.0,377.8901
17280.0,377.8903
19008.0,377.8903
20736.0,377.8903
22464.0,377.8903
24192.0,377.8903
25920.0,377.8903
27648.0,377.8903
29376.0,377.8903
31104.0,377.8903
32832.0,377.8903
34560.0,377.8903
36288.0,377.8903
38016.0,377.8903
39744.0,377.2806
41472.0,359.156
43200.0,340.3551
44928.0,323.0746
46656.0,312.8134
48384.0,310.1474
50112.0,309.077
51840.0,308.6447
53568.0,308.4699
55296.0,308.3991
57024.0,308.3704
58752.0,308.3588
60480.0,308.3541
62208.0,308.3522
63936.0,308.3514
65664.0,308.3511
67392.0,308.3509
69120.0,308.3509
70848.0,308.3509
72576.0,308.3509
74304.0,308.3509
76032.0,308.3509
77760.0,308.3509
79488.0,308.3509
81216.0,308.3509
82944.0,316.3807
84672.0,333.4294
86400.0,354.6806
88128.0,367.2539
89856.0,369.1344
91584.0,369.6631
93312.0,369.8109
95040.0,369.8522
96768.0,369.8638
98496.0,364.2484
100224.0,346.0891
101952.0,328.4595
103680.0,322.7386
105408.0,321.0272
107136.0,320.383
108864.0,320.1398
110592.0,320.0478
112320.0,320.013
114048.0,328.4994
115776.0,347.2091
117504.0,365.877
119232.0,368.7513
120960.0,369.5557
122688.0,369.7809
124416.0,369.8439
126144.0,369.8614
127872.0,369.696
129600.0,352.7069
131328.0,342.5269
133056.0,340.7316
134784.0,340.132
136512.0,339.9308
138240.0,339.8633
139968.0,339.8406
141696.0,341.3791
143424.0,347.3707
145152.0,354.3168
146880.0,361.7103
148608.0,368.4076
150336.0,369.4634
152064.0,369.7551
153792.0,369.8367
155520.0,369.8594
157248.0,369.8658
158976.0,369.8675
160704.0,366.1566
162432.0,361.6047
164160.0,356.9567
165888.0,352.3429
167616.0,347.8035
169344.0,343.3535
171072.0,339.0004
172800.0,334.7497
